paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
neutral stimuli_00001,https://pubmed.ncbi.nlm.nih.gov/20800687/,Amygdala responsivity related to memory of emotionally neutral stimuli constitutes a trait factor for depression.,"van Eijndhoven P, van Wingen G, Fernandez G, Rijpkema M, Verkes RJ, Buitelaar J, Tendolkar I",NeuroImage,0.331,20800687,-1,-1
neutral stimuli_00002,https://pubmed.ncbi.nlm.nih.gov/16093315/,Beyond affect: a role for genetic variation of the serotonin transporter in neural activation during a cognitive attention task.,"Canli T, Omura K, Haas BW, Fallgatter A, Constable RT, Lesch KP",Proceedings of the National Academy of Sciences of the United States of America,0.321,16093315,-1,-1
neutral stimuli_00003,https://pubmed.ncbi.nlm.nih.gov/18031826/,Toward a functional neuroanatomy of premenstrual dysphoric disorder.,"Protopopescu X, Tuescher O, Pan H, Epstein J, Root J, Chang L, Altemus M, Polanecsky M, McEwen B, Stern E, Silbersweig D",Journal of affective disorders,0.291,18031826,-1,-1
neutral stimuli_00004,https://pubmed.ncbi.nlm.nih.gov/27445112/,The transition from childhood to adolescence is marked by a general decrease in amygdala reactivity and an affect-specific ventral-to-dorsal shift in medial prefrontal recruitment.,"Silvers JA, Insel C, Powers A, Franz P, Helion C, Martin R, Weber J, Mischel W, Casey BJ, Ochsner KN",Developmental cognitive neuroscience,0.291,27445112,-1,-1
neutral stimuli_00005,https://pubmed.ncbi.nlm.nih.gov/16837057/,Processing of autobiographical memory retrieval cues in borderline personality disorder.,"Schnell K, Dietrich T, Schnitker R, Daumann J, Herpertz SC",Journal of affective disorders,0.273,16837057,-1,-1
neutral stimuli_00006,https://pubmed.ncbi.nlm.nih.gov/18823239/,Age-related alterations in simple declarative memory and the effect of negative stimulus valence.,"Murty VP, Sambataro F, Das S, Tan HY, Callicott JH, Goldberg TE, Meyer-Lindenberg A, Weinberger DR, Mattay VS",Journal of cognitive neuroscience,0.233,18823239,-1,-1
neutral stimuli_00007,https://pubmed.ncbi.nlm.nih.gov/18479717/,An amygdala response to fearful faces with covered eyes.,"Asghar AU, Chiu YC, Hallam G, Liu S, Mole H, Wright H, Young AW",Neuropsychologia,0.224,18479717,-1,-1
neutral stimuli_00008,https://pubmed.ncbi.nlm.nih.gov/17182225/,Expecting unpleasant stimuli--an fMRI study.,"Herwig U, Abler B, Walter H, Erk S",Psychiatry research,0.209,17182225,-1,-1
neutral stimuli_00009,https://pubmed.ncbi.nlm.nih.gov/28129556/,Neural responses to social threat and predictors of cognitive behavioral therapy  and acceptance and commitment therapy in social anxiety disorder.,"Burklund LJ, Torre JB, Lieberman MD, Taylor SE, Craske MG",Psychiatry research. Neuroimaging,0.2,28129556,-1,-1
neutral stimuli_00010,https://pubmed.ncbi.nlm.nih.gov/24902936/,Neural circuits of emotion regulation: a comparison of mindfulness-based and cognitive reappraisal strategies.,"Opialla S, Lutz J, Scherpiet S, Hittmeyer A, Jancke L, Rufer M, Grosse Holtforth M, Herwig U, Bruhl AB",European archives of psychiatry and clinical neuroscience,0.194,24902936,-1,-1
neutral stimuli_00011,https://pubmed.ncbi.nlm.nih.gov/23144849/,Distinct contributions of the dorsolateral prefrontal and orbitofrontal cortex during emotion regulation.,"Golkar A, Lonsdorf TB, Olsson A, Lindstrom KM, Berrebi J, Fransson P, Schalling M, Ingvar M, Ohman A",PloS one,0.19,23144849,-1,-1
neutral stimuli_00012,https://pubmed.ncbi.nlm.nih.gov/25438046/,Ability to maintain internal arousal and motivation modulates brain responses to  emotions.,"Sterpenich V, Schwartz S, Maquet P, Desseilles M",PloS one,0.187,25438046,-1,-1
neutral stimuli_00013,https://pubmed.ncbi.nlm.nih.gov/23711533/,Emotion modulates activity in the 'what' but not 'where' auditory processing pathway.,"Kryklywy JH, Macpherson EA, Greening SG, Mitchell DG",NeuroImage,0.176,23711533,-1,-1
