paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
fear_00001,https://pubmed.ncbi.nlm.nih.gov/22230805/,Neural correlates of fear of movement in high and low fear-avoidant chronic low back pain patients: an event-related fMRI study.,"Barke A, Baudewig J, Schmidt-Samoa C, Dechent P, Kroner-Herwig B",Pain,0.805,22230805,-1,-1
fear_00002,https://pubmed.ncbi.nlm.nih.gov/18987188/,From fear to safety and back: reversal of fear in the human brain.,"Schiller D, Levy I, Niv Y, LeDoux JE, Phelps EA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.787,18987188,-1,-1
fear_00003,https://pubmed.ncbi.nlm.nih.gov/27194564/,"Neural response patterns in spider, blood-injection-injury and social fearful individuals: new insights from a simultaneous EEG/ECG-fMRI study.","Michalowski JM, Matuszewski J, Drozdziel D, Koziejowski W, Rynkiewicz A, Jednorog K, Marchewka A",Brain imaging and behavior,0.756,27194564,-1,-1
fear_00004,https://pubmed.ncbi.nlm.nih.gov/16281289/,Amygdala-prefrontal dissociation of subliminal and supraliminal fear.,"Williams LM, Liddell BJ, Kemp AH, Bryant RA, Meares RA, Peduto AS, Gordon E",Human brain mapping,0.742,16281289,-1,-1
fear_00005,https://pubmed.ncbi.nlm.nih.gov/29378319/,Alter spontaneous activity in amygdala and vmPFC during fear consolidation following 24h sleep deprivation.,"Feng P, Becker B, Feng T, Zheng Y",NeuroImage,0.69,29378319,-1,-1
fear_00006,https://pubmed.ncbi.nlm.nih.gov/25100974/,Equal pain-Unequal fear response: enhanced susceptibility of tooth pain to fear conditioning.,"Meier ML, de Matos NM, Brugger M, Ettlin DA, Lukic N, Cheetham M, Jancke L, Lutz K",Frontiers in human neuroscience,0.678,25100974,-1,-1
fear_00007,https://pubmed.ncbi.nlm.nih.gov/24561099/,"Brain, body, and cognition: Neural, physiological and self-report correlates of phobic and normative fear.","Schaefer HS, Larson CL, Davidson RJ, Coan JA",Biological psychology,0.648,24561099,-1,-1
fear_00008,https://pubmed.ncbi.nlm.nih.gov/21256233/,Neurobehavioral mechanisms of human fear generalization.,"Dunsmoor JE, Prince SE, Murty VP, Kragel PA, LaBar KS",NeuroImage,0.637,21256233,-1,-1
fear_00009,https://pubmed.ncbi.nlm.nih.gov/20620879/,Fear thou not: activity of frontal and temporal circuits in moments of real-life  courage.,"Nili U, Goldberg H, Weizman A, Dudai Y",Neuron,0.611,20620879,-1,-1
fear_00010,https://pubmed.ncbi.nlm.nih.gov/23726994/,Altered resting-state brain activity at functional MRI during automatic memory consolidation of fear conditioning.,"Feng T, Feng P, Chen Z",Brain research,0.604,23726994,-1,-1
fear_00011,https://pubmed.ncbi.nlm.nih.gov/24194579/,Memory consolidation of fear conditioning: Bi-stable amygdala connectivity with dorsal anterior cingulate and medial prefrontal cortex.,"Feng P, Feng T, Chen Z, Lei X",Social cognitive and affective neuroscience,0.601,24194579,-1,-1
fear_00012,https://pubmed.ncbi.nlm.nih.gov/25716297/,Brain morphology correlates of interindividual differences in conditioned fear acquisition and extinction learning.,"Winkelmann T, Grimm O, Pohlack ST, Nees F, Cacciaglia R, Dinu-Biringer R, Steiger F, Wicking M, Ruttorf M, Schad LR, Flor H",Brain structure & function,0.595,25716297,-1,-1
fear_00013,https://pubmed.ncbi.nlm.nih.gov/22200657/,Neural reactivity tracks fear generalization gradients.,"Greenberg T, Carlson JM, Cha J, Hajcak G, Mujica-Parodi LR",Biological psychology,0.586,22200657,-1,-1
fear_00014,https://pubmed.ncbi.nlm.nih.gov/21697388/,A stable sparse fear memory trace in human amygdala.,"Bach DR, Weiskopf N, Dolan RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.572,21697388,10.1523/JNEUROSCI.1524-11.2011,-1
fear_00015,https://pubmed.ncbi.nlm.nih.gov/28496404/,GABA Concentrations in the Anterior Cingulate Cortex Are Associated with Fear Network Function and Fear Recovery in Humans.,"Levar N, van Leeuwen JMC, Puts NAJ, Denys D, van Wingen GA",Frontiers in human neuroscience,0.565,28496404,10.3389/fnhum.2017.00202,-1
fear_00016,https://pubmed.ncbi.nlm.nih.gov/21263037/,Brain structure correlates of individual differences in the acquisition and inhibition of conditioned fear.,"Hartley CA, Fischl B, Phelps EA","Cerebral cortex (New York, N.Y. : 1991)",0.555,21263037,10.1093/cercor/bhq253,-1
fear_00017,https://pubmed.ncbi.nlm.nih.gov/27915119/,Neural correlates of pupil dilation during human fear learning.,"Leuchs L, Schneider M, Czisch M, Spoormaker VI",NeuroImage,0.541,27915119,10.1016/j.neuroimage.2016.11.072,-1
