paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
everyday_00001,https://pubmed.ncbi.nlm.nih.gov/26855062/,Brain structure links everyday creativity to creative achievement.,"Zhu W, Chen Q, Tang C, Cao G, Hou Y, Qiu J",Brain and cognition,0.394,26855062,10.1016/j.bandc.2015.09.008,-1
everyday_00002,https://pubmed.ncbi.nlm.nih.gov/17112742/,Motor imagery of complex everyday movements. An fMRI study.,"Szameitat AJ, Shen S, Sterr A",NeuroImage,0.389,17112742,10.1016/j.neuroimage.2006.09.033,-1
everyday_00003,https://pubmed.ncbi.nlm.nih.gov/19628276/,The role of personal experience in the neural processing of action-related language.,"Lyons IM, Mattarella-Micke A, Cieslak M, Nusbaum HC, Small SL, Beilock SL",Brain and language,0.359,19628276,10.1016/j.bandl.2009.05.006,-1
everyday_00004,https://pubmed.ncbi.nlm.nih.gov/18771801/,Say it with flowers! An fMRI study of object mediated communication.,"Tylen K, Wallentin M, Roepstorff A",Brain and language,0.252,18771801,10.1016/j.bandl.2008.07.002,-1
everyday_00005,https://pubmed.ncbi.nlm.nih.gov/29723681/,Action affordances and visuo-spatial complexity in motor imagery: An fMRI study.,"Schulz L, Ischebeck A, Wriessnegger SC, Steyrl D, Muller-Putz GR",Brain and cognition,0.247,29723681,10.1016/j.bandc.2018.03.012,-1
everyday_00006,https://pubmed.ncbi.nlm.nih.gov/23918599/,Did I turn off the gas? Reality monitoring of everyday actions.,"Brandt VC, Bergstrom ZM, Buda M, Henson RN, Simons JS","Cognitive, affective & behavioral neuroscience",0.21,23918599,-1,-1
everyday_00007,https://pubmed.ncbi.nlm.nih.gov/18060812/,Probing overtly spoken language at sentential level: a comprehensive high-field BOLD-fMRI protocol reflecting everyday language demands.,"Foki T, Gartus A, Geissler A, Beisteiner R",NeuroImage,0.188,18060812,-1,-1
everyday_00008,https://pubmed.ncbi.nlm.nih.gov/23482621/,Repetition-related reductions in neural activity reveal component processes of mental simulation.,"Szpunar KK, St Jacques PL, Robbins CA, Wig GS, Schacter DL",Social cognitive and affective neuroscience,0.188,23482621,-1,-1
everyday_00009,https://pubmed.ncbi.nlm.nih.gov/14745466/,Use-dependent cortical plasticity in thalidomide-induced upper extremity dysplasia: evidence from somaesthesia and neuroimaging.,"Stoeckel MC, Pollok B, Schnitzler A, Witte OW, Seitz RJ",Experimental brain research,0.186,14745466,-1,-1
everyday_00010,https://pubmed.ncbi.nlm.nih.gov/15006683/,Watching social interactions produces dorsomedial prefrontal and medial parietal  BOLD fMRI signal increases compared to a resting baseline.,"Iacoboni M, Lieberman MD, Knowlton BJ, Molnar-Szakacs I, Moritz M, Throop CJ, Fiske AP",NeuroImage,0.178,15006683,-1,-1
everyday_00011,https://pubmed.ncbi.nlm.nih.gov/17159232/,When language meets action: the neural integration of gesture and speech.,"Willems RM, Ozyurek A, Hagoort P","Cerebral cortex (New York, N.Y. : 1991)",0.176,17159232,-1,-1
everyday_00012,https://pubmed.ncbi.nlm.nih.gov/18005067/,Effector-dependent activity in the left dorsal premotor cortex in motor imagery.,"Szameitat AJ, Shen S, Sterr A",The European journal of neuroscience,0.174,18005067,-1,-1
everyday_00013,https://pubmed.ncbi.nlm.nih.gov/22701655/,Neural activation and functional connectivity during motor imagery of bimanual everyday actions.,"Szameitat AJ, McNamara A, Shen S, Sterr A",PloS one,0.174,22701655,-1,-1
everyday_00014,https://pubmed.ncbi.nlm.nih.gov/26216276/,Brains striving for coherence: Long-term cumulative plot formation in the default mode network.,"Tylen K, Christensen P, Roepstorff A, Lund T, Ostergaard S, Donald M",NeuroImage,0.173,26216276,-1,-1
everyday_00015,https://pubmed.ncbi.nlm.nih.gov/11387405/,Differential fronto-parietal activation depending on force used in a precision grip task: an fMRI study.,"Ehrsson HH, Fagergren E, Forssberg H",Journal of neurophysiology,0.172,11387405,-1,-1
everyday_00016,https://pubmed.ncbi.nlm.nih.gov/24557637/,Altered Cognitive Control Activations after Moderate-to-Severe Traumatic Brain Injury and Their Relationship to Injury Severity and Everyday-Life Function.,"Olsen A, Brunner JF, Indredavik Evensen KA, Finnanger TG, Vik A, Skandsen T, Landro NI, Haberg AK","Cerebral cortex (New York, N.Y. : 1991)",0.172,24557637,-1,-1
everyday_00017,https://pubmed.ncbi.nlm.nih.gov/20561898/,Enhancing creativity by means of cognitive stimulation: evidence from an fMRI study.,"Fink A, Grabner RH, Gebauer D, Reishofer G, Koschutnig K, Ebner F",NeuroImage,0.148,20561898,-1,-1
everyday_00018,https://pubmed.ncbi.nlm.nih.gov/18930182/,Individual differences in typical reappraisal use predict amygdala and prefrontal responses.,"Drabant EM, McRae K, Manuck SB, Hariri AR, Gross JJ",Biological psychiatry,0.144,18930182,-1,-1
everyday_00019,https://pubmed.ncbi.nlm.nih.gov/20362598/,How should I decide? The neural correlates of everyday moral reasoning.,"Sommer M, Rothmayr C, Dohnel K, Meinhardt J, Schwerdtner J, Sodian B, Hajak G",Neuropsychologia,0.142,20362598,-1,-1
everyday_00020,https://pubmed.ncbi.nlm.nih.gov/19428413/,A failure to grasp the affective meaning of actions in autism spectrum disorder subjects.,"Grezes J, Wicker B, Berthoz S, de Gelder B",Neuropsychologia,0.14,19428413,-1,-1
everyday_00021,https://pubmed.ncbi.nlm.nih.gov/25455744/,Functional relevance of the precuneus in verbal politeness.,"Ashizuka A, Mima T, Sawamoto N, Aso T, Oishi N, Sugihara G, Kawada R, Takahashi H, Murai T, Fukuyama H",Neuroscience research,0.136,25455744,10.1016/j.neures.2014.10.009,-1
everyday_00022,https://pubmed.ncbi.nlm.nih.gov/22194902/,How doctors generate diagnostic hypotheses: a study of radiological diagnosis with functional magnetic resonance imaging.,"Melo M, Scarpin DJ, Amaro E Jr, Passos RB, Sato JR, Friston KJ, Price CJ",PloS one,0.134,22194902,-1,-1
