paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
anterior prefrontal_00001,https://pubmed.ncbi.nlm.nih.gov/19368829/,Early implicit contextual change detection in anterior prefrontal cortex.,"Pollmann S, Manginelli AA",Brain research,0.548,19368829,10.1016/j.brainres.2009.01.039,-1
anterior prefrontal_00002,https://pubmed.ncbi.nlm.nih.gov/21715612/,Reciprocal anatomical relationship between primary sensory and prefrontal cortices in the human brain.,"Song C, Schwarzkopf DS, Kanai R, Rees G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.431,21715612,10.1523/JNEUROSCI.0308-11.2011,-1
anterior prefrontal_00003,https://pubmed.ncbi.nlm.nih.gov/19429003/,Anterior prefrontal cortex activities during the inhibition of stereotyped responses in a neuropsychological rock-paper-scissors task.,"Kadota H, Nakajima Y, Miyazaki M, Sekiguchi H, Kohno Y, Kansaku K",Neuroscience letters,0.318,19429003,10.1016/j.neulet.2009.02.005,-1
anterior prefrontal_00004,https://pubmed.ncbi.nlm.nih.gov/16154453/,Anterior prefrontal cortex and the recollection of contextual information.,"Simons JS, Owen AM, Fletcher PC, Burgess PW",Neuropsychologia,0.309,16154453,10.1016/j.neuropsychologia.2005.02.004,-1
anterior prefrontal_00005,https://pubmed.ncbi.nlm.nih.gov/16513147/,Differential components of prospective memory? Evidence from fMRI.,"Simons JS, Scholvinck ML, Gilbert SJ, Frith CD, Burgess PW",Neuropsychologia,0.273,16513147,-1,-1
anterior prefrontal_00006,https://pubmed.ncbi.nlm.nih.gov/20456928/,Amygdalar modulation of frontotemporal connectivity during the inkblot test.,"Asari T, Konishi S, Jimura K, Chikazoe J, Nakamura N, Miyashita Y",Psychiatry research,0.259,20456928,-1,-1
anterior prefrontal_00007,https://pubmed.ncbi.nlm.nih.gov/27277794/,Testosterone during Puberty Shifts Emotional Control from Pulvinar to Anterior Prefrontal Cortex.,"Tyborowska A, Volman I, Smeekens S, Toni I, Roelofs K",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.217,27277794,-1,-1
anterior prefrontal_00008,https://pubmed.ncbi.nlm.nih.gov/18854581/,Distinct neural circuits support transient and sustained processes in prospective memory and working memory.,"Reynolds JR, West R, Braver T","Cerebral cortex (New York, N.Y. : 1991)",0.208,18854581,-1,-1
anterior prefrontal_00009,https://pubmed.ncbi.nlm.nih.gov/12853369/,Neural correlates of different types of deception: an fMRI investigation.,"Ganis G, Kosslyn SM, Stose S, Thompson WL, Yurgelun-Todd DA","Cerebral cortex (New York, N.Y. : 1991)",0.196,12853369,-1,-1
anterior prefrontal_00010,https://pubmed.ncbi.nlm.nih.gov/24099847/,Distinct brain activity in processing negative pictures of animals and objects -  the role of human contexts.,"Cao Z, Zhao Y, Tan T, Chen G, Ning X, Zhan L, Yang J",NeuroImage,0.191,24099847,-1,-1
anterior prefrontal_00011,https://pubmed.ncbi.nlm.nih.gov/23425890/,Deficits in Process-Specific Prefrontal and Hippocampal Activations Contribute to Adult Age Differences in Episodic Memory Interference.,"Fandakova Y, Lindenberger U, Shing YL","Cerebral cortex (New York, N.Y. : 1991)",0.177,23425890,-1,-1
anterior prefrontal_00012,https://pubmed.ncbi.nlm.nih.gov/27590722/,Working memory load influences perceptual ambiguity by competing for fronto-parietal attentional resources.,"Intaite M, Duarte JV, Castelo-Branco M",Brain research,0.172,27590722,-1,-1
anterior prefrontal_00013,https://pubmed.ncbi.nlm.nih.gov/12595190/,Frontostriatal system in planning complexity: a parametric functional magnetic resonance version of Tower of London task.,"van den Heuvel OA, Groenewegen HJ, Barkhof F, Lazeron RH, van Dyck R, Veltman DJ",NeuroImage,0.164,12595190,-1,-1
anterior prefrontal_00014,https://pubmed.ncbi.nlm.nih.gov/24825744/,The impact of age on prefrontal cortex integrity during spatial working memory retrieval.,"Toepper M, Markowitsch HJ, Gebhardt H, Beblo T, Bauer E, Woermann FG, Driessen M, Sammer G",Neuropsychologia,0.158,24825744,-1,-1
anterior prefrontal_00015,https://pubmed.ncbi.nlm.nih.gov/19932754/,Neural basis for dynamic updating of object representation in visual working memory.,"Takahama S, Miyauchi S, Saiki J",NeuroImage,0.148,19932754,-1,-1
anterior prefrontal_00016,https://pubmed.ncbi.nlm.nih.gov/15275903/,Recognition memory for studied words is determined by cortical activation differences at encoding but not during retrieval.,"Chee MW, Goh JO, Lim Y, Graham S, Lee K",NeuroImage,0.143,15275903,-1,-1
anterior prefrontal_00017,https://pubmed.ncbi.nlm.nih.gov/17904389/,Neural mechanisms of proactive interference-resolution.,"Nee DE, Jonides J, Berman MG",NeuroImage,0.136,17904389,-1,-1
anterior prefrontal_00018,https://pubmed.ncbi.nlm.nih.gov/17576922/,Distinct brain networks for adaptive and stable task control in humans.,"Dosenbach NU, Fair DA, Miezin FM, Cohen AL, Wenger KK, Dosenbach RA, Fox MD, Snyder AZ, Vincent JL, Raichle ME, Schlaggar BL, Petersen SE",Proceedings of the National Academy of Sciences of the United States of America,0.132,17576922,-1,-1
anterior prefrontal_00019,https://pubmed.ncbi.nlm.nih.gov/16797186/,Discriminating imagined from perceived information engages brain areas implicated in schizophrenia.,"Simons JS, Davis SW, Gilbert SJ, Frith CD, Burgess PW",NeuroImage,0.131,16797186,-1,-1
anterior prefrontal_00020,https://pubmed.ncbi.nlm.nih.gov/16061398/,Neural responses to acute cocaine administration in the human brain detected by fMRI.,"Kufahl PR, Li Z, Risinger RC, Rainey CJ, Wu G, Bloom AS, Li SJ",NeuroImage,0.129,16061398,-1,-1
anterior prefrontal_00021,https://pubmed.ncbi.nlm.nih.gov/16772176/,Broca's area and the hierarchical organization of human behavior.,"Koechlin E, Jubault T",Neuron,0.127,16772176,10.1016/j.neuron.2006.05.017,-1
anterior prefrontal_00022,https://pubmed.ncbi.nlm.nih.gov/16019232/,Common and unique components of response inhibition revealed by fMRI.,"Wager TD, Sylvester CY, Lacey SC, Nee DE, Franklin M, Jonides J",NeuroImage,0.125,16019232,-1,-1
anterior prefrontal_00023,https://pubmed.ncbi.nlm.nih.gov/22912831/,Functional alterations in neural substrates of geometric reasoning in adults with high-functioning autism.,"Yamada T, Ohta H, Watanabe H, Kanai C, Tani M, Ohno T, Takayama Y, Iwanami A, Kato N, Hashimoto R",PloS one,0.125,22912831,-1,-1
anterior prefrontal_00024,https://pubmed.ncbi.nlm.nih.gov/20079980/,Reduced anterior prefrontal cortex activation in young binge drinkers during a visual working memory task.,"Crego A, Rodriguez-Holguin S, Parada M, Mota N, Corral M, Cadaveira F",Drug and alcohol dependence,0.123,20079980,-1,-1
