paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
success_00001,https://pubmed.ncbi.nlm.nih.gov/12513946/,Decision making by methamphetamine-dependent subjects is associated with error-rate-independent decrease in prefrontal and parietal activation.,"Paulus MP, Hozack N, Frank L, Brown GG, Schuckit MA",Biological psychiatry,0.643,12513946,-1,-1
success_00002,https://pubmed.ncbi.nlm.nih.gov/22242196/,Monitoring the mind: the neurocognitive correlates of metamemory.,"Do Lam AT, Axmacher N, Fell J, Staresina BP, Gauggel S, Wagner T, Olligs J, Weis S",PloS one,0.479,22242196,-1,-1
success_00003,https://pubmed.ncbi.nlm.nih.gov/19400677/,Remember the source: dissociating frontal and parietal contributions to episodic  memory.,"Donaldson DI, Wheeler ME, Petersen SE",Journal of cognitive neuroscience,0.44,19400677,-1,-1
success_00004,https://pubmed.ncbi.nlm.nih.gov/25576647/,Impulse control in the dorsolateral prefrontal cortex counteracts post-diet weight regain in obesity.,"Weygandt M, Mai K, Dommes E, Ritter K, Leupelt V, Spranger J, Haynes JD",NeuroImage,0.433,25576647,-1,-1
success_00005,https://pubmed.ncbi.nlm.nih.gov/21861676/,Amygdalar function reflects common individual differences in emotion and pain regulation success.,"Lapate RC, Lee H, Salomons TV, van Reekum CM, Greischar LL, Davidson RJ",Journal of cognitive neuroscience,0.377,21861676,-1,-1
success_00006,https://pubmed.ncbi.nlm.nih.gov/23202664/,Anticipatory brain activity predicts the success or failure of subsequent emotion regulation.,"Denny BT, Ochsner KN, Weber J, Wager TD",Social cognitive and affective neuroscience,0.364,23202664,-1,-1
success_00007,https://pubmed.ncbi.nlm.nih.gov/17905600/,Memory of music: roles of right hippocampus and left inferior frontal gyrus.,"Watanabe T, Yagishita S, Kikyo H",NeuroImage,0.322,17905600,-1,-1
success_00008,https://pubmed.ncbi.nlm.nih.gov/19647800/,Overlapping brain activity between episodic memory encoding and retrieval: roles  of the task-positive and task-negative networks.,"Kim H, Daselaar SM, Cabeza R",NeuroImage,0.318,19647800,-1,-1
success_00009,https://pubmed.ncbi.nlm.nih.gov/24224053/,The neural basis of responsibility attribution in decision-making.,"Li P, Shen Y, Sui X, Chen C, Feng T, Li H, Holroyd C",PloS one,0.318,24224053,-1,-1
success_00010,https://pubmed.ncbi.nlm.nih.gov/18817740/,Prefrontal-subcortical pathways mediating successful emotion regulation.,"Wager TD, Davidson ML, Hughes BL, Lindquist MA, Ochsner KN",Neuron,0.294,18817740,-1,-1
success_00011,https://pubmed.ncbi.nlm.nih.gov/27998996/,Effective amygdala-prefrontal connectivity predicts individual differences in successful emotion regulation.,"Morawetz C, Bode S, Baudewig J, Heekeren HR",Social cognitive and affective neuroscience,0.28,27998996,10.1093/scan/nsw169,-1
success_00012,https://pubmed.ncbi.nlm.nih.gov/29364911/,Scholastic performance and functional connectivity of brain networks in children.,"Chaddock-Heyman L, Weng TB, Kienzler C, Erickson KI, Voss MW, Drollette ES, Raine LB, Kao SC, Hillman CH, Kramer AF",PloS one,0.262,29364911,-1,-1
success_00013,https://pubmed.ncbi.nlm.nih.gov/18349055/,Association between therapy outcome and right-hemispheric activation in chronic aphasia.,"Richter M, Miltner WH, Straube T",Brain : a journal of neurology,0.26,18349055,-1,-1
success_00014,https://pubmed.ncbi.nlm.nih.gov/20004724/,The amodal system for conscious word and picture identification in the absence of a semantic task.,"Van Doren L, Dupont P, De Grauwe S, Peeters R, Vandenberghe R",NeuroImage,0.249,20004724,-1,-1
success_00015,https://pubmed.ncbi.nlm.nih.gov/24152545/,"Less Wiring, More Firing: Low-Performing Older Adults Compensate for Impaired White Matter with Greater Neural Activity.","Daselaar SM, Iyengar V, Davis SW, Eklund K, Hayes SM, Cabeza RE","Cerebral cortex (New York, N.Y. : 1991)",0.243,24152545,-1,-1
success_00016,https://pubmed.ncbi.nlm.nih.gov/20181590/,The inferior parietal lobule and recognition memory: expectancy violation or successful retrieval?,"O'Connor AR, Han S, Dobbins IG",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.236,20181590,-1,-1
success_00017,https://pubmed.ncbi.nlm.nih.gov/16861334/,Frontoparietal network involved in successful retrieval from episodic memory. Spatial and temporal analyses using fMRI and ERP.,"Iidaka T, Matsumoto A, Nogawa J, Yamamoto Y, Sadato N","Cerebral cortex (New York, N.Y. : 1991)",0.233,16861334,-1,-1
success_00018,https://pubmed.ncbi.nlm.nih.gov/23066730/,The neural correlates of cognitive control: successful remembering and intentional forgetting.,"Rizio AA, Dennis NA",Journal of cognitive neuroscience,0.229,23066730,-1,-1
success_00019,https://pubmed.ncbi.nlm.nih.gov/24430617/,Functional overlap of top-down emotion regulation and generation: an fMRI study identifying common neural substrates between cognitive reappraisal and cognitively generated emotions.,"Otto B, Misra S, Prasad A, McRae K","Cognitive, affective & behavioral neuroscience",0.229,24430617,-1,-1
success_00020,https://pubmed.ncbi.nlm.nih.gov/18760691/,Activity in both hippocampus and perirhinal cortex predicts the memory strength of subsequently remembered information.,"Shrager Y, Kirwan CB, Squire LR",Neuron,0.214,18760691,-1,-1
success_00021,https://pubmed.ncbi.nlm.nih.gov/11580903/,Dissociating memory retrieval processes using fMRI: evidence that priming does not support recognition memory.,"Donaldson DI, Petersen SE, Buckner RL",Neuron,0.213,11580903,-1,-1
success_00022,https://pubmed.ncbi.nlm.nih.gov/23607935/,Neural correlates of retrieval-based memory enhancement: an fMRI study of the testing effect.,"Wing EA, Marsh EJ, Cabeza R",Neuropsychologia,0.212,23607935,-1,-1
success_00023,https://pubmed.ncbi.nlm.nih.gov/21736451/,Similarity between brain activity at encoding and retrieval predicts successful realization of delayed intentions.,"Gilbert SJ, Armbruster DJ, Panagiotidi M",Journal of cognitive neuroscience,0.207,21736451,-1,-1
success_00024,https://pubmed.ncbi.nlm.nih.gov/19732835/,Encoding the future: successful processing of intentions engages predictive brain networks.,"Poppenk J, Moscovitch M, McIntosh AR, Ozcelik E, Craik FI",NeuroImage,0.197,19732835,-1,-1
success_00025,https://pubmed.ncbi.nlm.nih.gov/28180068/,Early cortical biomarkers of longitudinal transcutaneous vagus nerve stimulation  treatment success in depression.,"Fang J, Egorova N, Rong P, Liu J, Hong Y, Fan Y, Wang X, Wang H, Yu Y, Ma Y, Xu C, Li S, Zhao J, Luo M, Zhu B, Kong J",NeuroImage. Clinical,0.196,28180068,-1,-1
success_00026,https://pubmed.ncbi.nlm.nih.gov/19524092/,Encoding and retrieving faces and places: distinguishing process- and stimulus-specific differences in brain activity.,"Prince SE, Dennis NA, Cabeza R",Neuropsychologia,0.191,19524092,-1,-1
success_00027,https://pubmed.ncbi.nlm.nih.gov/24872520/,Motivated Memories: Effects of Reward and Recollection in the Core Recollection Network and Beyond.,"Elward RL, Vilberg KL, Rugg MD","Cerebral cortex (New York, N.Y. : 1991)",0.18,24872520,-1,-1
success_00028,https://pubmed.ncbi.nlm.nih.gov/23326346/,The neural substrates of social influence on decision making.,"Tomlin D, Nedic A, Prentice DA, Holmes P, Cohen JD",PloS one,0.179,23326346,-1,-1
success_00029,https://pubmed.ncbi.nlm.nih.gov/22132137/,Neural correlates of effective learning in experienced medical decision-makers.,"Downar J, Bhatt M, Montague PR",PloS one,0.176,22132137,-1,-1
success_00030,https://pubmed.ncbi.nlm.nih.gov/22634217/,Cerebral correlates of skin conductance responses in a cognitive task.,"Zhang S, Hu S, Chao HH, Luo X, Farr OM, Li CS",NeuroImage,0.166,22634217,-1,-1
success_00031,https://pubmed.ncbi.nlm.nih.gov/24666161/,Distinct neural specializations for learning to read words and name objects.,"Taylor JS, Rastle K, Davis MH",Journal of cognitive neuroscience,0.164,24666161,10.1162/jocn_a_00614,-1
success_00032,https://pubmed.ncbi.nlm.nih.gov/20949134/,Dissociable processes of cognitive control during error and non-error conflicts:  a study of the stop signal task.,"Hendrick OM, Ide JS, Luo X, Li CS",PloS one,0.161,20949134,10.1371/journal.pone.0013155,-1
success_00033,https://pubmed.ncbi.nlm.nih.gov/15689557/,Neural correlates of relational memory: successful encoding and retrieval of semantic and perceptual associations.,"Prince SE, Daselaar SM, Cabeza R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.158,15689557,10.1523/JNEUROSCI.2540-04.2005,-1
success_00034,https://pubmed.ncbi.nlm.nih.gov/10666559/,Functional asymmetry of human prefrontal cortex in verbal and non-verbal episodic memory as revealed by fMRI.,"Iidaka T, Sadato N, Yamada H, Yonekura Y",Brain research. Cognitive brain research,0.157,10666559,-1,-1
success_00035,https://pubmed.ncbi.nlm.nih.gov/23295390/,Parietal and frontal contributions to episodic encoding of location.,"Hales JB, Brewer JB",Behavioural brain research,0.151,23295390,-1,-1
success_00036,https://pubmed.ncbi.nlm.nih.gov/25313659/,Reinstatement of individual past events revealed by the similarity of distributed activation patterns during encoding and retrieval.,"Wing EA, Ritchey M, Cabeza R",Journal of cognitive neuroscience,0.142,25313659,-1,-1
success_00037,https://pubmed.ncbi.nlm.nih.gov/25324714/,Activation in inhibitory brain regions during food choice correlates with temptation strength and self-regulatory success in weight-concerned women.,"van der Laan LN, de Ridder DT, Viergever MA, Smeets PA",Frontiers in neuroscience,0.142,25324714,-1,-1
success_00038,https://pubmed.ncbi.nlm.nih.gov/12477696/,Neuroanatomical correlates of episodic encoding and retrieval in young and elderly subjects.,"Daselaar SM, Veltman DJ, Rombouts SA, Raaijmakers JG, Jonker C",Brain : a journal of neurology,0.141,12477696,-1,-1
success_00039,https://pubmed.ncbi.nlm.nih.gov/14980552/,Learning new sounds of speech: reallocation of neural substrates.,"Golestani N, Zatorre RJ",NeuroImage,0.141,14980552,-1,-1
success_00040,https://pubmed.ncbi.nlm.nih.gov/24994972/,Opposing effects of dopamine antagonism in a motor sequence task-tiapride increases cortical excitability and impairs motor learning.,"Lissek S, Vallana GS, Schlaffke L, Lenz M, Dinse HR, Tegenthoff M",Frontiers in behavioral neuroscience,0.141,24994972,-1,-1
success_00041,https://pubmed.ncbi.nlm.nih.gov/26866283/,Resting-state low-frequency fluctuations reflect individual differences in spoken language learning.,"Deng Z, Chandrasekaran B, Wang S, Wong PC",Cortex; a journal devoted to the study of the nervous system and behavior,0.14,26866283,-1,-1
success_00042,https://pubmed.ncbi.nlm.nih.gov/12372290/,Neural correlates of visual working memory: fMRI amplitude predicts task performance.,"Pessoa L, Gutierrez E, Bandettini P, Ungerleider L",Neuron,0.127,12372290,-1,-1
success_00043,https://pubmed.ncbi.nlm.nih.gov/14568509/,Putting names to faces: successful encoding of associative memories activates the anterior hippocampal formation.,"Sperling R, Chua E, Cocchiarella A, Rand-Giovannetti E, Poldrack R, Schacter DL, Albert M",NeuroImage,0.123,14568509,-1,-1
success_00044,https://pubmed.ncbi.nlm.nih.gov/20617891/,Comparing segmentation by time and by motion in visual search: an FMRI investigation.,"Dent K, Allen H, Humphreys GW",Journal of cognitive neuroscience,0.121,20617891,-1,-1
success_00045,https://pubmed.ncbi.nlm.nih.gov/20702705/,Neural mechanisms of belief inference during cooperative games.,"Yoshida W, Seymour B, Friston KJ, Dolan RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.12,20702705,-1,-1
success_00046,https://pubmed.ncbi.nlm.nih.gov/18057110/,Vestibular nuclei and cerebellum put visual gravitational motion in context.,"Miller WL, Maffei V, Bosco G, Iosa M, Zago M, Macaluso E, Lacquaniti F",Journal of neurophysiology,0.119,18057110,-1,-1
success_00047,https://pubmed.ncbi.nlm.nih.gov/18234684/,Rule-selection and action-selection have a shared neuroanatomical basis in the human prefrontal and parietal cortex.,"Rowe J, Hughes L, Eckstein D, Owen AM","Cerebral cortex (New York, N.Y. : 1991)",0.118,18234684,-1,-1
success_00048,https://pubmed.ncbi.nlm.nih.gov/21048124/,Flexible memories: differential roles for medial temporal lobe and prefrontal cortex in cross-episode binding.,"Zeithamova D, Preston AR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.118,21048124,-1,-1
success_00049,https://pubmed.ncbi.nlm.nih.gov/24297329/,How Self-Determined Choice Facilitates Performance: A Key Role of the Ventromedial Prefrontal Cortex.,"Murayama K, Matsumoto M, Izuma K, Sugiura A, Ryan RM, Deci EL, Matsumoto K","Cerebral cortex (New York, N.Y. : 1991)",0.116,24297329,-1,-1
success_00050,https://pubmed.ncbi.nlm.nih.gov/16814525/,Functional magnetic resonance imaging of internal source monitoring in schizophrenia: recognition with and without recollection.,"Ragland JD, Valdez JN, Loughead J, Gur RC, Gur RE",Schizophrenia research,0.114,16814525,-1,-1
success_00051,https://pubmed.ncbi.nlm.nih.gov/29217684/,Retrieval Demands Adaptively Change Striatal Old/New Signals and Boost Subsequent Long-Term Memory.,"Herweg NA, Sommer T, Bunzeck N",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.114,29217684,10.1523/JNEUROSCI.1315-17.2017,-1
success_00052,https://pubmed.ncbi.nlm.nih.gov/22049444/,Medial temporal lobe function and recognition memory: a novel approach to separating the contribution of recollection and familiarity.,"Song Z, Jeneson A, Squire LR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.111,22049444,10.1523/JNEUROSCI.3012-11.2011,-1
success_00053,https://pubmed.ncbi.nlm.nih.gov/16373455/,"Dynamics of frontal, striatal, and hippocampal systems during rule learning.","Seger CA, Cincotta CM","Cerebral cortex (New York, N.Y. : 1991)",0.11,16373455,-1,-1
success_00054,https://pubmed.ncbi.nlm.nih.gov/18423780/,Prion protein M129V polymorphism affects retrieval-related brain activity.,"Buchmann A, Mondadori CR, Hanggi J, Aerni A, Vrticka P, Luechinger R, Boesiger P, Hock C, Nitsch RM, de Quervain DJ, Papassotiropoulos A, Henke K",Neuropsychologia,0.109,18423780,-1,-1
success_00055,https://pubmed.ncbi.nlm.nih.gov/22954751/,Effects of an antidepressant on neural correlates of emotional processing in patients with major depression.,"Wang Y, Xu C, Cao X, Gao Q, Li J, Liu Z, Sun N, Ren Y, Zhang K",Neuroscience letters,0.109,22954751,-1,-1
success_00056,https://pubmed.ncbi.nlm.nih.gov/12372291/,Executive control during episodic retrieval: multiple prefrontal processes subserve source memory.,"Dobbins IG, Foley H, Schacter DL, Wagner AD",Neuron,0.108,12372291,-1,-1
success_00057,https://pubmed.ncbi.nlm.nih.gov/21590261/,Corticomotor plasticity induced by tongue-task training in humans: a longitudinal fMRI study.,"Arima T, Yanagi Y, Niddam DM, Ohata N, Arendt-Nielsen L, Minagi S, Sessle BJ, Svensson P",Experimental brain research,0.108,21590261,-1,-1
success_00058,https://pubmed.ncbi.nlm.nih.gov/22349799/,Insular and hippocampal contributions to remembering people with an impression of bad personality.,"Tsukiura T, Shigemune Y, Nouchi R, Kambara T, Kawashima R",Social cognitive and affective neuroscience,0.108,22349799,-1,-1
success_00059,https://pubmed.ncbi.nlm.nih.gov/29270356/,Altered task-based and resting-state amygdala functional connectivity following real-time fMRI amygdala neurofeedback training in major depressive disorder.,"Young KD, Siegle GJ, Misaki M, Zotev V, Phillips R, Drevets WC, Bodurka J",NeuroImage. Clinical,0.108,29270356,-1,-1
success_00060,https://pubmed.ncbi.nlm.nih.gov/27274075/,Neural mechanisms underlying the impact of daylong cognitive work on economic decisions.,"Blain B, Hollard G, Pessiglione M",Proceedings of the National Academy of Sciences of the United States of America,0.107,27274075,-1,-1
success_00061,https://pubmed.ncbi.nlm.nih.gov/20107076/,When desire collides with reason: functional interactions between anteroventral prefrontal cortex and nucleus accumbens underlie the human ability to resist impulsive desires.,"Diekhof EK, Gruber O",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.106,20107076,-1,-1
success_00062,https://pubmed.ncbi.nlm.nih.gov/28669904/,Functional brain outcomes of L2 speech learning emerge during sensorimotor transformation.,"Carey D, Miquel ME, Evans BG, Adank P, McGettigan C",NeuroImage,0.106,28669904,-1,-1
success_00063,https://pubmed.ncbi.nlm.nih.gov/27458349/,Impact of Short Social Training on Prosocial Behaviors: An fMRI Study.,"Lukinova E, Myagkov M",Frontiers in systems neuroscience,0.105,27458349,-1,-1
success_00064,https://pubmed.ncbi.nlm.nih.gov/18603230/,Menstrual cycle phase modulates cognitive control over male but not female stimuli.,"Roberts GM, Newell F, Simoes-Franklin C, Garavan H",Brain research,0.104,18603230,-1,-1
success_00065,https://pubmed.ncbi.nlm.nih.gov/21867758/,Changing the structure of complex visuo-motor sequences selectively activates the fronto-parietal network.,"Pammi VS, Miyapuram KP, Ahmed, Samejima K, Bapi RS, Doya K",NeuroImage,0.104,21867758,-1,-1
success_00066,https://pubmed.ncbi.nlm.nih.gov/23719806/,The brain's silent messenger: using selective attention to decode human thought for brain-based communication.,"Naci L, Cusack R, Jia VZ, Owen AM",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.103,23719806,-1,-1
success_00067,https://pubmed.ncbi.nlm.nih.gov/12417678/,Neural correlates of successful encoding identified using functional magnetic resonance imaging.,"Reber PJ, Siwiec RM, Gitelman DR, Parrish TB, Mesulam MM, Paller KA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.102,12417678,-1,-1
success_00068,https://pubmed.ncbi.nlm.nih.gov/14741659/,Artifactual fMRI group and condition differences driven by performance confounds.,"Murphy K, Garavan H",NeuroImage,0.102,14741659,-1,-1
success_00069,https://pubmed.ncbi.nlm.nih.gov/26931814/,Neural basis of phonological awareness in beginning readers with familial risk of dyslexia-Results from shallow orthography.,"Debska A, Luniewska M, Chyl K, Banaszkiewicz A, Zelechowska A, Wypych M, Marchewka A, Pugh KR, Jednorog K",NeuroImage,0.102,26931814,-1,-1
success_00070,https://pubmed.ncbi.nlm.nih.gov/16530885/,Mild cognitive impairment (MCI) and actual retrieval performance affect cerebral  activation in the elderly.,"Heun R, Freymann K, Erb M, Leube DT, Jessen F, Kircher TT, Grodd W",Neurobiology of aging,0.1,16530885,-1,-1
success_00071,https://pubmed.ncbi.nlm.nih.gov/26909331/,Hurt but still alive: Residual activity in the parahippocampal cortex conditions  the recognition of familiar places in a patient with topographic agnosia.,"van Assche M, Kebets V, Lopez U, Saj A, Goldstein R, Bernasconi F, Vuilleumier P, Assal F",NeuroImage. Clinical,0.1,26909331,10.1016/j.nicl.2016.01.001,-1
success_00072,https://pubmed.ncbi.nlm.nih.gov/29253252/,Longitudinal Alterations of Frontoparietal and Frontotemporal Networks Predict Future Creative Cognitive Ability.,"Chen Q, Beaty RE, Wei D, Yang J, Sun J, Liu W, Yang W, Zhang Q, Qiu J","Cerebral cortex (New York, N.Y. : 1991)",0.1,29253252,-1,-1
success_00073,https://pubmed.ncbi.nlm.nih.gov/17020747/,Fronto-hippocampal function during temporal context monitoring in schizophrenia.,"Weiss AP, Goff D, Schacter DL, Ditman T, Freudenreich O, Henderson D, Heckers S",Biological psychiatry,0.099,17020747,-1,-1
success_00074,https://pubmed.ncbi.nlm.nih.gov/21316475/,Cortical and striatal contributions to automaticity in information-integration categorization.,"Waldschmidt JG, Ashby FG",NeuroImage,0.099,21316475,-1,-1
success_00075,https://pubmed.ncbi.nlm.nih.gov/24647122/,Uncovering the neural mechanisms underlying learning from tests.,"Liu XL, Liang P, Li K, Reder LM",PloS one,0.099,24647122,-1,-1
success_00076,https://pubmed.ncbi.nlm.nih.gov/24742863/,To like or not to like: Neural substrates of subjective flavor preferences.,"van den Bosch I, Dalenberg JR, Renken R, van Langeveld AW, Smeets PA, Griffioen-Roose S, Ter Horst GJ, de Graaf C, Boesveldt S",Behavioural brain research,0.099,24742863,-1,-1
success_00077,https://pubmed.ncbi.nlm.nih.gov/25143543/,The organization and dynamics of corticostriatal pathways link the medial orbitofrontal cortex to future behavioral responses.,Verstynen TD,Journal of neurophysiology,0.099,25143543,-1,-1
success_00078,https://pubmed.ncbi.nlm.nih.gov/26792586/,Efficacy of identifying neural components in the face and emotion processing system in schizophrenia using a dynamic functional localizer.,"Arnold AE, Iaria G, Goghari VM",Psychiatry research. Neuroimaging,0.099,26792586,-1,-1
success_00079,https://pubmed.ncbi.nlm.nih.gov/28253076/,Major Thought Restructuring: The Roles of Different Prefrontal Cortical Regions.,"Seyed-Allaei S, Avanaki ZN, Bahrami B, Shallice T",Journal of cognitive neuroscience,0.098,28253076,-1,-1
success_00080,https://pubmed.ncbi.nlm.nih.gov/17905481/,Ageing-related changes of neural activity associated with spatial contextual memory.,"Kukolja J, Thiel CM, Wilms M, Mirzazade S, Fink GR",Neurobiology of aging,0.097,17905481,-1,-1
success_00081,https://pubmed.ncbi.nlm.nih.gov/15808996/,Hippocampus activity differentiates good from poor learners of a novel lexicon.,"Breitenstein C, Jansen A, Deppe M, Foerster AF, Sommer J, Wolbers T, Knecht S",NeuroImage,0.096,15808996,10.1016/j.neuroimage.2004.12.019,-1
success_00082,https://pubmed.ncbi.nlm.nih.gov/17133399/,Neural characteristics of successful and less successful speech and word learning in adults.,"Wong PC, Perrachione TK, Parrish TB",Human brain mapping,0.096,17133399,10.1002/hbm.20330,-1
success_00083,https://pubmed.ncbi.nlm.nih.gov/21441989/,Error-related functional connectivity of the habenula in humans.,"Ide JS, Li CS",Frontiers in human neuroscience,0.096,21441989,10.3389/fnhum.2011.00025,-1
success_00084,https://pubmed.ncbi.nlm.nih.gov/25034472/,Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS).,"Lefaucheur JP, Andre-Obadia N, Antal A, Ayache SS, Baeken C, Benninger DH, Cantello RM, Cincotta M, de Carvalho M, De Ridder D, Devanne H, Di Lazzaro V, Filipovic SR, Hummel FC, Jaaskelainen SK, Kimiskidis VK, Koch G, Langguth B, Nyffeler T, Oliviero A, Padberg F, Poulet E, Rossi S, Rossini PM, Rothwell JC, Schonfeldt-Lecuona C, Siebner HR, Slotema CW, Stagg CJ, Valls-Sole J, Ziemann U, Paulus W, Garcia-Larrea L",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.096,25034472,-1,-1
success_00085,https://pubmed.ncbi.nlm.nih.gov/15670690/,Graded recall success: an event-related fMRI comparison of tip of the tongue and  feeling of knowing.,"Maril A, Simons JS, Weaver JJ, Schacter DL",NeuroImage,0.095,15670690,-1,-1
success_00086,https://pubmed.ncbi.nlm.nih.gov/19494138/,Learning from errors: error-related neural activity predicts improvements in future inhibitory control performance.,"Hester R, Madeley J, Murphy K, Mattingley JB",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.095,19494138,-1,-1
success_00087,https://pubmed.ncbi.nlm.nih.gov/22230115/,"Human memory manipulated: dissociating factors contributing to MTL activity, an fMRI study.","Pustina D, Gizewski E, Forsting M, Daum I, Suchan B",Behavioural brain research,0.095,22230115,-1,-1
success_00088,https://pubmed.ncbi.nlm.nih.gov/24564466/,Ventral striatum and the evaluation of memory retrieval strategies.,"Badre D, Lebrecht S, Pagliaccio D, Long NM, Scimeca JM",Journal of cognitive neuroscience,0.094,24564466,-1,-1
success_00089,https://pubmed.ncbi.nlm.nih.gov/23476024/,Neural Evidence for Adaptive Strategy Selection in Value-Based Decision-Making.,"Gluth S, Rieskamp J, Buchel C","Cerebral cortex (New York, N.Y. : 1991)",0.093,23476024,-1,-1
