paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
strategic_00001,https://pubmed.ncbi.nlm.nih.gov/23734238/,Communicative versus strategic rationality: Habermas theory of communicative action and the social brain.,"Schaefer M, Heinze HJ, Rotte M, Denke C",PloS one,0.562,23734238,-1,-1
strategic_00002,https://pubmed.ncbi.nlm.nih.gov/16707737/,A common prefrontal-parietal network for mnemonic and mathematical recoding strategies within working memory.,"Bor D, Owen AM","Cerebral cortex (New York, N.Y. : 1991)",0.491,16707737,-1,-1
strategic_00003,https://pubmed.ncbi.nlm.nih.gov/16775140/,Dissociation of automatic and strategic lexical-semantics: functional magnetic resonance imaging evidence for differing roles of multiple frontotemporal regions.,"Gold BT, Balota DA, Jones SJ, Powell DK, Smith CD, Andersen AH",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.405,16775140,-1,-1
strategic_00004,https://pubmed.ncbi.nlm.nih.gov/16051283/,Dissociating prefrontal contributions during a recency memory task.,"Rajah MN, McIntosh AR",Neuropsychologia,0.391,16051283,-1,-1
strategic_00005,https://pubmed.ncbi.nlm.nih.gov/22307594/,Dissociable neural representations of reinforcement and belief prediction errors  underlie strategic learning.,"Zhu L, Mathewson KE, Hsu M",Proceedings of the National Academy of Sciences of the United States of America,0.379,22307594,-1,-1
strategic_00006,https://pubmed.ncbi.nlm.nih.gov/16082657/,Bilateral activation of the prefrontal cortex after strategic semantic cognitive  training.,"Miotto EC, Savage CR, Evans JJ, Wilson BA, Martins MG, Iaki S, Amaro E Jr",Human brain mapping,0.275,16082657,-1,-1
strategic_00007,https://pubmed.ncbi.nlm.nih.gov/16135779/,Changes in connectivity profiles as a mechanism for strategic control over interfering subliminal information.,"Wolbers T, Schoell ED, Verleger R, Kraft S, McNamara A, Jaskowski P, Buchel C","Cerebral cortex (New York, N.Y. : 1991)",0.271,16135779,-1,-1
strategic_00008,https://pubmed.ncbi.nlm.nih.gov/23568448/,Activation of the cerebellar cortex and the dentate nucleus in a prism adaptation fMRI study.,"Kuper M, Wunnemann MJ, Thurling M, Stefanescu RM, Maderwald S, Elles HG, Goricke S, Ladd ME, Timmann D",Human brain mapping,0.271,23568448,-1,-1
strategic_00009,https://pubmed.ncbi.nlm.nih.gov/15053955/,Dynamic and strategic aspects of executive processing.,"Huettel SA, Misiurek J, Jurkowski AJ, McCarthy G",Brain research,0.265,15053955,-1,-1
strategic_00010,https://pubmed.ncbi.nlm.nih.gov/24412687/,Developmental changes of neuronal networks associated with strategic social decision-making.,"Steinmann E, Schmalor A, Prehn-Kristensen A, Wolff S, Galka A, Mohring J, Gerber WD, Petermann F, Stephani U, Siniatchkin M",Neuropsychologia,0.247,24412687,-1,-1
