paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
adults_00001,https://pubmed.ncbi.nlm.nih.gov/26054305/,"Brain activity during source memory retrieval in young, middle-aged and old adults.","Cansino S, Trejo-Morales P, Estrada-Manilla C, Pasaye-Alcaraz EH, Aguilar-Castaneda E, Salgado-Lujambio P, Sosa-Ortiz AL",Brain research,0.44,26054305,-1,-1
adults_00002,https://pubmed.ncbi.nlm.nih.gov/25832770/,The effect of beta-amyloid on face processing in young and old adults: A multivariate analysis of the BOLD signal.,"Rieck JR, Rodrigue KM, Kennedy KM, Devous MD Sr, Park DC",Human brain mapping,0.437,25832770,-1,-1
adults_00003,https://pubmed.ncbi.nlm.nih.gov/18282558/,Age-related differences in brain activity during verbal recency memory.,"Rajah MN, McIntosh AR",Brain research,0.428,18282558,-1,-1
adults_00004,https://pubmed.ncbi.nlm.nih.gov/16769093/,Neural correlates of auditory recognition under full and divided attention in younger and older adults.,"Fernandes MA, Pacurar A, Moscovitch M, Grady C",Neuropsychologia,0.419,16769093,-1,-1
adults_00005,https://pubmed.ncbi.nlm.nih.gov/26244278/,Effects of aging on value-directed modulation of semantic network activity during verbal learning.,"Cohen MS, Rissman J, Suthana NA, Castel AD, Knowlton BJ",NeuroImage,0.407,26244278,-1,-1
adults_00006,https://pubmed.ncbi.nlm.nih.gov/22274135/,Extensive stimulus repetition leads older adults to show delayed functional magnetic resonance imaging adaptation.,"Miyakoshi M, Chen SH, Matsuo K, Wu CY, Suzuki A, Nakai T",Brain imaging and behavior,0.401,22274135,-1,-1
adults_00007,https://pubmed.ncbi.nlm.nih.gov/20471139/,Age-related dedifferentiation of learning systems: an fMRI study of implicit and  explicit learning.,"Dennis NA, Cabeza R",Neurobiology of aging,0.399,20471139,-1,-1
adults_00008,https://pubmed.ncbi.nlm.nih.gov/21777596/,Event congruency and episodic encoding: a developmental fMRI study.,"Maril A, Avital R, Reggev N, Zuckerman M, Sadeh T, Ben Sira L, Livneh N",Neuropsychologia,0.399,21777596,-1,-1
adults_00009,https://pubmed.ncbi.nlm.nih.gov/18985135/,Age-related differences in brain activity underlying identification of emotional  expressions in faces.,"Keightley ML, Chiew KS, Winocur G, Grady CL",Social cognitive and affective neuroscience,0.386,18985135,-1,-1
adults_00010,https://pubmed.ncbi.nlm.nih.gov/19666829/,Neural processing during older adults' comprehension of spoken sentences: age differences in resource allocation and connectivity.,"Peelle JE, Troiani V, Wingfield A, Grossman M","Cerebral cortex (New York, N.Y. : 1991)",0.385,19666829,-1,-1
adults_00011,https://pubmed.ncbi.nlm.nih.gov/15028641/,"Task-independent and task-specific age effects on brain activity during working memory, visual attention and episodic retrieval.","Cabeza R, Daselaar SM, Dolcos F, Prince SE, Budde M, Nyberg L","Cerebral cortex (New York, N.Y. : 1991)",0.383,15028641,-1,-1
adults_00012,https://pubmed.ncbi.nlm.nih.gov/24600366/,The effect of age on neural processing of pleasant soft touch stimuli.,"May AC, Stewart JL, Tapert SF, Paulus MP",Frontiers in behavioral neuroscience,0.381,24600366,-1,-1
adults_00013,https://pubmed.ncbi.nlm.nih.gov/19010424/,Neurophysiology of swallowing: effects of age and bolus type.,"Humbert IA, Fitzgerald ME, McLaren DG, Johnson S, Porcaro E, Kosmatka K, Hind J, Robbins J",NeuroImage,0.375,19010424,-1,-1
adults_00014,https://pubmed.ncbi.nlm.nih.gov/19445606/,Age-related neural changes during memory conjunction errors.,"Giovanello KS, Kensinger EA, Wong AT, Schacter DL",Journal of cognitive neuroscience,0.37,19445606,-1,-1
adults_00015,https://pubmed.ncbi.nlm.nih.gov/22484520/,Age differences in default and reward networks during processing of personally relevant information.,"Grady CL, Grigg O, Ng C",Neuropsychologia,0.37,22484520,-1,-1
adults_00016,https://pubmed.ncbi.nlm.nih.gov/16896984/,Cerebral cortical processing of swallowing in older adults.,"Martin R, Barr A, MacIntosh B, Smith R, Stevens T, Taves D, Gati J, Menon R, Hachinski V",Experimental brain research,0.359,16896984,-1,-1
adults_00017,https://pubmed.ncbi.nlm.nih.gov/25337918/,Greater BOLD Variability in Older Compared with Younger Adults during Audiovisual Speech Perception.,"Baum SH, Beauchamp MS",PloS one,0.358,25337918,-1,-1
adults_00018,https://pubmed.ncbi.nlm.nih.gov/25085883/,Functional Brain Activation Associated with Inhibitory Control Deficits in Older  Adults.,"Coxon JP, Goble DJ, Leunissen I, Van Impe A, Wenderoth N, Swinnen SP","Cerebral cortex (New York, N.Y. : 1991)",0.357,25085883,-1,-1
adults_00019,https://pubmed.ncbi.nlm.nih.gov/19015038/,Age-associated reduction of asymmetry in prefrontal function and preservation of  conceptual repetition priming.,"Bergerbest D, Gabrieli JD, Whitfield-Gabrieli S, Kim H, Stebbins GT, Bennett DA, Fleischman DA",NeuroImage,0.351,19015038,-1,-1
adults_00020,https://pubmed.ncbi.nlm.nih.gov/11804576/,Immature frontal lobe contributions to cognitive control in children: evidence from fMRI.,"Bunge SA, Dudukovic NM, Thomason ME, Vaidya CJ, Gabrieli JD",Neuron,0.35,11804576,-1,-1
adults_00021,https://pubmed.ncbi.nlm.nih.gov/21945808/,Age-related neural changes in autobiographical remembering and imagining.,"Addis DR, Roberts RP, Schacter DL",Neuropsychologia,0.346,21945808,-1,-1
adults_00022,https://pubmed.ncbi.nlm.nih.gov/23870836/,Age-related dedifferentiation and compensatory changes in the functional network  underlying face processing.,"Burianova H, Lee Y, Grady CL, Moscovitch M",Neurobiology of aging,0.344,23870836,-1,-1
adults_00023,https://pubmed.ncbi.nlm.nih.gov/24631396/,The neural correlates of age effects on verbal-spatial binding in working memory.,"Meier TB, Nair VA, Meyerand ME, Birn RM, Prabhakaran V",Behavioural brain research,0.343,24631396,-1,-1
adults_00024,https://pubmed.ncbi.nlm.nih.gov/20022675/,Age-related reorganization of functional networks for successful conflict resolution: a combined functional and structural MRI study.,"Schulte T, Muller-Oehring EM, Chanraud S, Rosenbloom MJ, Pfefferbaum A, Sullivan EV",Neurobiology of aging,0.342,20022675,-1,-1
adults_00025,https://pubmed.ncbi.nlm.nih.gov/23262175/,Regulation of brain activity in the fusiform face and parahippocampal place areas in 7-11-year-old children.,"Vuontela V, Jiang P, Tokariev M, Savolainen P, Ma Y, Aronen ET, Fontell T, Liiri T, Ahlstrom M, Salonen O, Carlson S",Brain and cognition,0.342,23262175,-1,-1
adults_00026,https://pubmed.ncbi.nlm.nih.gov/23102512/,Neural correlates of conceptual object priming in young and older adults: an event-related functional magnetic resonance imaging study.,"Ballesteros S, Bischof GN, Goh JO, Park DC",Neurobiology of aging,0.339,23102512,-1,-1
adults_00027,https://pubmed.ncbi.nlm.nih.gov/21671743/,"Influence of aging on the neural correlates of autobiographical, episodic, and semantic memory retrieval.","St-Laurent M, Abdi H, Burianova H, Grady CL",Journal of cognitive neuroscience,0.338,21671743,-1,-1
adults_00028,https://pubmed.ncbi.nlm.nih.gov/25212682/,Neural mechanisms of inhibitory control continue to mature in adolescence.,"Vara AS, Pang EW, Vidal J, Anagnostou E, Taylor MJ",Developmental cognitive neuroscience,0.338,25212682,-1,-1
adults_00029,https://pubmed.ncbi.nlm.nih.gov/25149192/,Age differences in the neural correlates of novelty processing: The effects of item-relatedness.,"Bowman CR, Dennis NA",Brain research,0.335,25149192,-1,-1
adults_00030,https://pubmed.ncbi.nlm.nih.gov/24647939/,Memory reactivation in healthy aging: evidence of stimulus-specific dedifferentiation.,"St-Laurent M, Abdi H, Bondad A, Buchsbaum BR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.332,24647939,-1,-1
adults_00031,https://pubmed.ncbi.nlm.nih.gov/24893737/,Age-related Differences in the Neural Bases of Phonological and Semantic Processes.,"Diaz MT, Johnson MA, Burke DM, Madden DJ",Journal of cognitive neuroscience,0.331,24893737,-1,-1
adults_00032,https://pubmed.ncbi.nlm.nih.gov/29490234/,How attention modulates encoding of dynamic stimuli in older adults.,"Oren N, Shapira-Lichter I, Lerner Y, Hendler T, Giladi N, Ash EL",Behavioural brain research,0.329,29490234,-1,-1
adults_00033,https://pubmed.ncbi.nlm.nih.gov/15064407/,The change of the brain activation patterns as children learn algebra equation solving.,"Qin Y, Carter CS, Silk EM, Stenger VA, Fissell K, Goode A, Anderson JR",Proceedings of the National Academy of Sciences of the United States of America,0.328,15064407,-1,-1
adults_00034,https://pubmed.ncbi.nlm.nih.gov/26119913/,The significance of caudate volume for age-related associative memory decline.,"Bauer E, Toepper M, Gebhardt H, Gallhofer B, Sammer G",Brain research,0.326,26119913,-1,-1
adults_00035,https://pubmed.ncbi.nlm.nih.gov/21320741/,Dual-task processing in younger and older adults: similarities and differences revealed by fMRI.,"Hartley AA, Jonides J, Sylvester CY",Brain and cognition,0.324,21320741,-1,-1
adults_00036,https://pubmed.ncbi.nlm.nih.gov/24907249/,Convergent and Divergent fMRI Responses in Children and Adults to Increasing Language Production Demands.,"Krishnan S, Leech R, Mercure E, Lloyd-Fox S, Dick F","Cerebral cortex (New York, N.Y. : 1991)",0.322,24907249,-1,-1
adults_00037,https://pubmed.ncbi.nlm.nih.gov/20472070/,Age-related functional changes in gustatory and reward processing regions: An fMRI study.,"Jacobson A, Green E, Murphy C",NeuroImage,0.321,20472070,-1,-1
adults_00038,https://pubmed.ncbi.nlm.nih.gov/15737657/,Functional neuroanatomy of working memory in adults with attention-deficit/hyperactivity disorder.,"Valera EM, Faraone SV, Biederman J, Poldrack RA, Seidman LJ",Biological psychiatry,0.317,15737657,-1,-1
adults_00039,https://pubmed.ncbi.nlm.nih.gov/28673767/,Diminished motor imagery capability in adults with motor impairment: An fMRI mental rotation study.,"Kashuk SR, Williams J, Thorpe G, Wilson PH, Egan GF",Behavioural brain research,0.317,28673767,-1,-1
adults_00040,https://pubmed.ncbi.nlm.nih.gov/21945346/,"Age-related changes in the three-way correlation between anterior hippocampus volume, whole-brain patterns of encoding activity and subsequent context retrieval.","Maillet D, Rajah MN",Brain research,0.314,21945346,-1,-1
adults_00041,https://pubmed.ncbi.nlm.nih.gov/18072271/,Aging and the interaction of sensory cortical function and structure.,"Peiffer AM, Hugenschmidt CE, Maldjian JA, Casanova R, Srikanth R, Hayasaka S, Burdette JH, Kraft RA, Laurienti PJ",Human brain mapping,0.312,18072271,-1,-1
adults_00042,https://pubmed.ncbi.nlm.nih.gov/28708977/,Relative cortico-subcortical shift in brain activity but preserved training-induced neural modulation in older adults during bimanual motor learning.,"Santos Monteiro T, Beets IAM, Boisgontier MP, Gooijers J, Pauwels L, Chalavi S, King B, Albouy G, Swinnen SP",Neurobiology of aging,0.312,28708977,-1,-1
adults_00043,https://pubmed.ncbi.nlm.nih.gov/27984068/,Age-related differences in resolving semantic and phonological competition during receptive language tasks.,"Zhuang J, Johnson MA, Madden DJ, Burke DM, Diaz MT",Neuropsychologia,0.311,27984068,-1,-1
adults_00044,https://pubmed.ncbi.nlm.nih.gov/16549368/,Changing channels: an fMRI study of aging and cross-modal attention shifts.,"Townsend J, Adamo M, Haist F",NeuroImage,0.31,16549368,-1,-1
