paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
goal directed_00001,https://pubmed.ncbi.nlm.nih.gov/19741139/,Differential engagement of the ventromedial prefrontal cortex by goal-directed and habitual behavior toward food pictures in humans.,"de Wit S, Corlett PR, Aitken MR, Dickinson A, Fletcher PC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.483,19741139,-1,-1
goal directed_00002,https://pubmed.ncbi.nlm.nih.gov/25740507/,Characterizing the associative content of brain structures involved in habitual and goal-directed actions in humans: a multivariate FMRI study.,"McNamee D, Liljeholm M, Zika O, O'Doherty JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.357,25740507,-1,-1
goal directed_00003,https://pubmed.ncbi.nlm.nih.gov/19395524/,"The brain network underlying serial visual search: comparing overt and covert spatial orienting, for activations and for effective connectivity.","Fairhall SL, Indovina I, Driver J, Macaluso E","Cerebral cortex (New York, N.Y. : 1991)",0.336,19395524,-1,-1
goal directed_00004,https://pubmed.ncbi.nlm.nih.gov/22815503/,Dissociable brain systems mediate vicarious learning of stimulus-response and action-outcome contingencies.,"Liljeholm M, Molloy CJ, O'Doherty JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.296,22815503,-1,-1
goal directed_00005,https://pubmed.ncbi.nlm.nih.gov/21256228/,Solving future problems: default network and executive activity associated with goal-directed mental simulations.,"Gerlach KD, Spreng RN, Gilmore AW, Schacter DL",NeuroImage,0.293,21256228,-1,-1
goal directed_00006,https://pubmed.ncbi.nlm.nih.gov/16706860/,Functional and effective connectivity in an fMRI study of an auditory-related task.,"Caclin A, Fonlupt P",The European journal of neuroscience,0.272,16706860,-1,-1
goal directed_00007,https://pubmed.ncbi.nlm.nih.gov/24905285/,Perceived animacy influences the processing of human-like surface features in the fusiform gyrus.,"Shultz S, McCarthy G",Neuropsychologia,0.272,24905285,-1,-1
goal directed_00008,https://pubmed.ncbi.nlm.nih.gov/25497221/,Neural correlates of planning performance in patients with schizophrenia - Relationship with apathy.,"Liemburg EJ, Dlabac-De Lange JJ, Bais L, Knegtering H, van Osch MJ, Renken RJ, Aleman A",Schizophrenia research,0.272,25497221,-1,-1
goal directed_00009,https://pubmed.ncbi.nlm.nih.gov/20600998/,"Default network activity, coupled with the frontoparietal control network, supports goal-directed cognition.","Spreng RN, Stevens WD, Chamberlain JP, Gilmore AW, Schacter DL",NeuroImage,0.253,20600998,-1,-1
goal directed_00010,https://pubmed.ncbi.nlm.nih.gov/21768227/,Goal-directed actions activate the face-sensitive posterior superior temporal sulcus and fusiform gyrus in the absence of human-like perceptual cues.,"Shultz S, McCarthy G","Cerebral cortex (New York, N.Y. : 1991)",0.243,21768227,-1,-1
