paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
track_00001,https://pubmed.ncbi.nlm.nih.gov/21425397/,Tracking emotional valence: the role of the orbitofrontal cortex.,"Goodkind MS, Sollberger M, Gyurak A, Rosen HJ, Rankin KP, Miller B, Levenson R",Human brain mapping,0.303,21425397,-1,-1
track_00002,https://pubmed.ncbi.nlm.nih.gov/28542396/,"Using stochastic language models (SLM) to map lexical, syntactic, and phonological information processing in the brain.","Lopopolo A, Frank SL, van den Bosch A, Willems RM",PloS one,0.278,28542396,-1,-1
track_00003,https://pubmed.ncbi.nlm.nih.gov/19244522/,Brain activation during anticipation of sound sequences.,"Leaver AM, Van Lare J, Zielinski B, Halpern AR, Rauschecker JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.208,19244522,-1,-1
track_00004,https://pubmed.ncbi.nlm.nih.gov/20434470/,Neuroanatomical correlates of executive functions in children and adolescents: a  magnetic resonance imaging (MRI) study of cortical thickness.,"Tamnes CK, Ostby Y, Walhovd KB, Westlye LT, Due-Tonnessen P, Fjell AM",Neuropsychologia,0.198,20434470,-1,-1
track_00005,https://pubmed.ncbi.nlm.nih.gov/22560503/,Selective role for striatal and prefrontal regions in processing first trial feedback during single-trial associative learning.,"Eliassen JC, Lamy M, Allendorfer JB, Boespflug E, Bullard DP, Smith MS, Lee JH, Strakowski SM",Brain research,0.188,22560503,-1,-1
track_00006,https://pubmed.ncbi.nlm.nih.gov/9819271/,Cortical fMRI activation produced by attentive tracking of moving targets.,"Culham JC, Brandt SA, Cavanagh P, Kanwisher NG, Dale AM, Tootell RB",Journal of neurophysiology,0.184,9819271,-1,-1
track_00007,https://pubmed.ncbi.nlm.nih.gov/18155926/,A hippocampal-parietal network for learning an ordered sequence.,"Van Opstal F, Verguts T, Orban GA, Fias W",NeuroImage,0.158,18155926,-1,-1
track_00008,https://pubmed.ncbi.nlm.nih.gov/19940175/,Three stages and four neural systems in time estimation.,"Morillon B, Kell CA, Giraud AL",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.151,19940175,-1,-1
track_00009,https://pubmed.ncbi.nlm.nih.gov/24392900/,Quantitative characterization of functional anatomical contributions to cognitive control under uncertainty.,"Fan J, Van Dam NT, Gu X, Liu X, Wang H, Tang CY, Hof PR",Journal of cognitive neuroscience,0.15,24392900,-1,-1
track_00010,https://pubmed.ncbi.nlm.nih.gov/23946002/,Detection of deception based on fMRI activation patterns underlying the production of a deceptive response and receiving feedback about the success of the deception after a mock murder crime.,"Cui Q, Vanman EJ, Wei D, Yang W, Jia L, Zhang Q",Social cognitive and affective neuroscience,0.142,23946002,-1,-1
track_00011,https://pubmed.ncbi.nlm.nih.gov/18987188/,From fear to safety and back: reversal of fear in the human brain.,"Schiller D, Levy I, Niv Y, LeDoux JE, Phelps EA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.14,18987188,-1,-1
track_00012,https://pubmed.ncbi.nlm.nih.gov/20722715/,Dissociating the role of the caudate nucleus and dorsolateral prefrontal cortex in the monitoring of events within human working memory.,"Provost JS, Petrides M, Monchi O",The European journal of neuroscience,0.14,20722715,-1,-1
track_00013,https://pubmed.ncbi.nlm.nih.gov/21640136/,A low cost fMRI-compatible tracking system using the Nintendo Wii remote.,"Modrono C, Rodriguez-Hernandez AF, Marcano F, Navarrete G, Burunat E, Ferrer M, Monserrat R, Gonzalez-Mora JL",Journal of neuroscience methods,0.137,21640136,-1,-1
track_00014,https://pubmed.ncbi.nlm.nih.gov/21571078/,Right fronto-parietal involvement in monitoring spatial trajectories.,"Vallesi A, Crescentini C",NeuroImage,0.132,21571078,-1,-1
track_00015,https://pubmed.ncbi.nlm.nih.gov/21177048/,Striatal hyposensitivity to delayed rewards among cigarette smokers.,"Luo S, Ainslie G, Giragosian L, Monterosso JR",Drug and alcohol dependence,0.13,21177048,-1,-1
